t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
322	0.046833	0.135651	0.296307
323	0.0469784	0.136067	0.297206
324	0.0471239	0.136483	0.298105
325	0.0472693	0.1369	0.299004
326	0.0474148	0.137316	0.299902
327	0.0475602	0.137732	0.300801
328	0.0477057	0.138148	0.301699
329	0.0478511	0.138565	0.302597
330	0.0479966	0.138981	0.303494
331	0.048142	0.139397	0.304392
332	0.0482874	0.139813	0.305289
333	0.0484329	0.140229	0.306186
334	0.0485783	0.140645	0.307083
335	0.0487238	0.14106	0.30798
336	0.0488692	0.141476	0.308876
337	0.0490147	0.141892	0.309773
338	0.0491601	0.142308	0.310669
339	0.0493056	0.142724	0.311565
340	0.049451	0.143139	0.312461
341	0.0495964	0.143555	0.313356
342	0.0497419	0.14397	0.314251
343	0.0498873	0.144386	0.315147
344	0.0500328	0.144801	0.316041
345	0.0501782	0.145217	0.316936
346	0.0503237	0.145632	0.317831
347	0.0504691	0.146047	0.318725
348	0.0506145	0.146463	0.319619
349	0.05076	0.146878	0.320513
350	0.0509054	0.147293	0.321407
351	0.0510509	0.147708	0.3223
352	0.0511963	0.148123	0.323194
353	0.0513418	0.148538	0.324087
354	0.0514872	0.148953	0.32498
355	0.0516327	0.149368	0.325872
356	0.0517781	0.149783	0.326765
357	0.0519235	0.150198	0.327657
358	0.052069	0.150613	0.328549
359	0.0522144	0.151027	0.329441
360	0.0523599	0.151442	0.330333
361	0.0525053	0.151857	0.331224
362	0.0526508	0.152271	0.332115
363	0.0527962	0.152686	0.333006
364	0.0529417	0.1531	0.333897
365	0.0530871	0.153515	0.334788
366	0.0532325	0.153929	0.335678
367	0.053378	0.154344	0.336568
368	0.0535234	0.154758	0.337458
369	0.0536689	0.155172	0.338348
370	0.0538143	0.155586	0.339238
371	0.0539598	0.156001	0.340127
372	0.0541052	0.156415	0.341016
373	0.0542507	0.156829	0.341905
374	0.0543961	0.157243	0.342794
375	0.0545415	0.157657	0.343682
376	0.054687	0.158071	0.34457
377	0.0548324	0.158485	0.345458
378	0.0549779	0.158898	0.346346
379	0.0551233	0.159312	0.347234
380	0.0552688	0.159726	0.348121
381	0.0554142	0.160139	0.349008
382	0.0555596	0.160553	0.349895
383	0.0557051	0.160967	0.350782
384	0.0558505	0.16138	0.351669
385	0.055996	0.161794	0.352555
386	0.0561414	0.162207	0.353441
387	0.0562869	0.16262	0.354327
388	0.0564323	0.163034	0.355212
389	0.0565778	0.163447	0.356098
390	0.0567232	0.16386	0.356983
391	0.0568686	0.164273	0.357868
392	0.0570141	0.164686	0.358753
393	0.0571595	0.165099	0.359637
394	0.057305	0.165512	0.360522
395	0.0574504	0.165925	0.361406
396	0.0575959	0.166338	0.36229
397	0.0577413	0.166751	0.363173
398	0.0578868	0.167164	0.364057
399	0.0580322	0.167576	0.36494
400	0.0581776	0.167989	0.365823
401	0.0583231	0.168402	0.366705
402	0.0584685	0.168814	0.367588
403	0.058614	0.169227	0.36847
