t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
26519	3.85703	4.19342	3.65816
26520	3.85718	4.16773	3.64363
26521	3.85732	4.61507	3.92471
26522	3.85747	5.97584	5.62713
26523	3.85761	6.02778	5.73325
26524	3.85776	5.787	5.26747
26525	3.8579	4.64376	3.94522
26526	3.85805	3.12698	3.13494
26527	3.8582	3.00923	3.08128
26528	3.85834	4.58759	3.90539
26529	3.85849	3.77527	3.43788
26530	3.85863	4.5153	3.85606
26531	3.85878	4.57174	3.8944
26532	3.85892	3.81483	3.45749
26533	3.85907	4.56299	3.88837
26534	3.85921	3.91631	3.50878
26535	3.85936	2.99485	3.07471
26536	3.8595	3.10082	3.12304
26537	3.85965	3.31181	3.21921
26538	3.8598	3.79008	3.44519
26539	3.85994	4.60273	3.91599
26540	3.86009	5.62621	4.99766
26541	3.86023	6.08291	5.84866
26542	3.86038	5.25533	4.49867
26543	3.86052	6.06992	5.82123
26544	3.86067	4.31295	3.728
26545	3.86081	6.07813	5.83855
26546	3.86096	5.58644	4.9362
26547	3.8611	5.21793	4.45665
26548	3.86125	5.4736	4.7728
26549	3.8614	5.94605	5.56756
26550	3.86154	6.07541	5.83281
26551	3.86169	5.73054	5.1688
26552	3.86183	5.17345	4.40837
26553	3.86198	5.22146	4.46056
26554	3.86212	5.77449	5.24525
26555	3.86227	6.07434	5.83056
26556	3.86241	5.98938	5.65455
26557	3.86256	5.61717	4.98351
26558	3.8627	5.27264	4.51857
26559	3.86285	5.25481	4.49808
26560	3.863	5.70329	5.1227
26561	3.86314	6.04375	5.76641
26562	3.86329	3.32088	3.22337
26563	3.86343	4.64002	3.94253
26564	3.86358	2.85694	3.01134
26565	3.86372	6.04276	5.76435
26566	3.86387	6.08426	5.85152
26567	3.86401	5.5393	4.866
26568	3.86416	3.02697	3.08938
26569	3.8643	4.45797	3.81837
26570	3.86445	4.65204	3.95122
26571	3.8646	4.45435	3.81602
26572	3.86474	3.98931	3.54669
26573	3.86489	3.54303	3.32627
26574	3.86503	3.39061	3.2554
26575	3.86518	3.59356	3.35012
26576	3.86532	4.09732	3.60458
26577	3.86547	4.55243	3.88113
26578	3.86561	4.62638	3.93275
26579	3.86576	3.22552	3.17981
26580	3.8659	6.05816	5.79653
26581	3.86605	3.26685	3.19866
26582	3.8662	2.87056	3.01763
26583	3.86634	2.92777	3.04398
26584	3.86649	2.86356	3.0144
26585	3.86663	5.15537	4.38925
26586	3.86678	4.56108	3.88706
26587	3.86692	3.73484	3.41804
26588	3.86707	5.80993	5.30875
26589	3.86721	5.21578	4.45427
26590	3.86736	5.39552	4.66871
26591	3.8675	5.92308	5.52231
26592	3.86765	6.0623	5.8052
26593	3.8678	5.47696	4.77743
26594	3.86794	4.94088	4.18246
26595	3.86809	5.65085	5.03678
26596	3.86823	6.08225	5.84726
26597	3.86838	5.62455	4.99506
26598	3.86852	5.19762	4.43438
26599	3.86867	5.95093	5.57725
26600	3.86881	2.99028	3.07262
26601	3.86896	6.04854	5.7764
26602	3.8691	5.46085	4.75531
26603	3.86925	5.22438	4.4638
26604	3.86939	4.42115	3.79477
26605	3.86954	2.87144	3.01804
26606	3.86969	4.52946	3.86556
26607	3.86983	4.64754	3.94796
26608	3.86998	4.24989	3.69068
26609	3.87012	4.58195	3.90147
26610	3.87027	4.65793	3.95549
26611	3.87041	4.63811	3.94115
26612	3.87056	3.90952	3.5053
26613	3.8707	4.00219	3.55348
26614	3.87085	2.86866	3.01675
26615	3.87099	6.08355	5.85001
26616	3.87114	5.38928	4.6607
26617	3.87129	3.02008	3.08623
26618	3.87143	3.5668	3.33746
26619	3.87158	3.12886	3.1358
26620	3.87172	3.0119	3.0825
26621	3.87187	3.02533	3.08863
26622	3.87201	3.09148	3.11878
26623	3.87216	3.30345	3.21539
26624	3.8723	4.59833	3.9129
26625	3.87245	4.43721	3.80501
26626	3.87259	5.60071	4.95802
26627	3.87274	3.1289	3.13582
26628	3.87289	3.01865	3.08558
26629	3.87303	2.90215	3.0322
26630	3.87318	3.22267	3.17851
26631	3.87332	3.15514	3.14776
26632	3.87347	2.88662	3.02504
26633	3.87361	2.95451	3.05624
26634	3.87376	3.12798	3.1354
26635	3.8739	3.1555	3.14792
26636	3.87405	2.98658	3.07093
26637	3.87419	2.97086	3.06373
26638	3.87434	4.27642	3.70625
26639	3.87449	4.6399	3.94244
26640	3.87463	3.29998	3.2138
26641	3.87478	2.91106	3.0363
26642	3.87492	3.13404	3.13815
26643	3.87507	3.14634	3.14375
26644	3.87521	2.96496	3.06103
26645	3.87536	2.91025	3.03592
26646	3.8755	3.25328	3.19247
26647	3.87565	2.99088	3.07289
26648	3.87579	3.12291	3.13309
26649	3.87594	2.92671	3.04349
26650	3.87609	3.16872	3.15394
26651	3.87623	3.78447	3.44242
26652	3.87638	4.50922	3.852
26653	3.87652	5.97778	5.63106
26654	3.87667	3.16988	3.15447
26655	3.87681	2.91967	3.04025
26656	3.87696	3.13294	3.13765
26657	3.8771	3.09202	3.11903
26658	3.87725	4.66042	3.95731
26659	3.87739	3.74923	3.42508
26660	3.87754	4.5646	3.88947
26661	3.87769	5.18466	4.42037
26662	3.87783	2.87791	3.02102
26663	3.87798	2.92364	3.04208
26664	3.87812	3.16515	3.15231
26665	3.87827	3.21587	3.17541
26666	3.87841	2.90083	3.03159
26667	3.87856	2.95968	3.05861
26668	3.8787	3.13201	3.13723
26669	3.87885	3.16643	3.1529
26670	3.87899	3.02985	3.09069
26671	3.87914	2.89021	3.0267
26672	3.87929	3.85293	3.47657
26673	3.87943	5.08888	4.32133
26674	3.87958	5.03739	4.27118
26675	3.87972	3.78851	3.44442
26676	3.87987	2.89862	3.03057
26677	3.88001	2.99647	3.07545
26678	3.88016	3.14585	3.14353
26679	3.8803	3.17082	3.1549
26680	3.88045	3.09427	3.12005
26681	3.88059	2.95476	3.05636
26682	3.88074	2.88144	3.02265
26683	3.88089	3.01549	3.08414
26684	3.88103	3.24526	3.18881
26685	3.88118	3.29778	3.2128
26686	3.88132	3.08841	3.11738
26687	3.88147	2.88617	3.02483
26688	3.88161	2.99036	3.07266
26689	3.88176	3.16586	3.15264
26690	3.8819	3.02408	3.08806
26691	3.88205	6.02429	5.72603
26692	3.88219	4.55315	3.88163
26693	3.88234	3.76986	3.43521
26694	3.88248	5.97119	5.61778
26695	3.88263	5.94788	5.57118
26696	3.88278	3.25322	3.19244
26697	3.88292	4.65756	3.95523
26698	3.88307	4.9437	4.18496
26699	3.88321	3.14902	3.14497
26700	3.88336	3.08968	3.11796
26701	3.8835	2.88678	3.02512
26702	3.88365	3.09074	3.11844
26703	3.88379	3.32765	3.22647
26704	3.88394	3.12634	3.13465
26705	3.88408	2.88733	3.02537
26706	3.88423	3.02259	3.08738
26707	3.88438	3.17543	3.15699
26708	3.88452	3.07395	3.1108
26709	3.88467	3.08247	3.11468
26710	3.88481	5.47608	4.77622
26711	3.88496	4.14835	3.63277
26712	3.8851	3.07857	3.1129
26713	3.88525	3.00647	3.08002
26714	3.88539	3.22239	3.17838
26715	3.88554	3.71577	3.40875
26716	3.88568	4.57888	3.89934
26717	3.88583	2.88843	3.02587
26718	3.88598	4.64151	3.9436
26719	3.88612	3.90758	3.50431
26720	3.88627	3.69959	3.4009
26721	3.88641	3.02641	3.08912
26722	3.88656	5.58916	4.94034
26723	3.8867	4.23699	3.68318
26724	3.88685	6.06808	5.81736
26725	3.88699	4.84092	4.0971
26726	3.88714	4.66259	3.9589
26727	3.88728	5.47234	4.77106
26728	3.88743	5.89901	5.47555
26729	3.88758	6.01413	5.70511
26730	3.88772	6.02136	5.72
26731	3.88787	5.93642	5.54851
26732	3.88801	5.5868	4.93675
26733	3.88816	4.77649	4.04523
26734	3.8883	4.63725	3.94054
26735	3.88845	6.07234	5.82633
26736	3.88859	5.94153	5.5586
26737	3.88874	5.51635	4.83284
26738	3.88888	3.10935	3.12692
26739	3.88903	3.71279	3.4073
26740	3.88918	3.48287	3.29813
26741	3.88932	4.34613	3.7481
26742	3.88947	3.186	3.1618
26743	3.88961	6.07757	5.83736
26744	3.88976	6.06022	5.80084
26745	3.8899	3.08037	3.11372
26746	3.89005	3.18672	3.16213
26747	3.89019	3.08727	3.11686
26748	3.89034	5.83068	5.34671
26749	3.89048	3.61928	3.36234
26750	3.89063	3.05933	3.10413
26751	3.89078	3.17789	3.15811
26752	3.89092	2.97585	3.06602
26753	3.89107	2.9635	3.06036
26754	3.89121	3.33422	3.22948
26755	3.89136	3.19553	3.16615
26756	3.8915	2.89901	3.03075
26757	3.89165	3.15223	3.14644
26758	3.89179	2.9104	3.03599
26759	3.89194	4.66331	3.95942
26760	3.89208	5.88495	5.44856
26761	3.89223	5.80622	5.30202
26762	3.89238	5.72005	5.15094
26763	3.89252	6.07347	5.82871
26764	3.89267	3.83623	3.46818
26765	3.89281	5.73688	5.17968
26766	3.89296	3.18175	3.15987
26767	3.8931	3.02666	3.08924
26768	3.89325	2.9339	3.04679
26769	3.89339	3.29064	3.20953
26770	3.89354	3.32731	3.22632
26771	3.89368	2.99947	3.07682
26772	3.89383	2.92332	3.04193
26773	3.89398	3.10728	3.12598
26774	3.89412	3.19152	3.16432
26775	3.89427	3.04304	3.09671
26776	3.89441	3.09746	3.1215
26777	3.89456	5.47264	4.77146
26778	3.8947	5.92631	5.52863
26779	3.89485	4.33397	3.74069
26780	3.89499	2.93827	3.0488
26781	3.89514	3.1906	3.1639
26782	3.89528	3.03857	3.09467
26783	3.89543	3.01475	3.0838
26784	3.89557	3.28318	3.20612
26785	3.89572	3.19379	3.16536
26786	3.89587	5.14778	4.38131
26787	3.89601	4.51079	3.85305
26788	3.89616	5.5119	4.82648
26789	3.8963	5.39992	4.6744
26790	3.89645	6.06281	5.80627
26791	3.89659	5.99817	5.67242
26792	3.89674	6.04412	5.76719
26793	3.89688	5.90712	5.49123
26794	3.89703	5.17859	4.41386
26795	3.89717	4.98651	4.22359
26796	3.89732	6.07335	5.82846
26797	3.89747	3.19473	3.16578
26798	3.89761	3.39913	3.25933
26799	3.89776	2.92278	3.04169
26800	3.8979	3.19566	3.16621
26801	3.89805	2.96478	3.06095
26802	3.89819	5.95506	5.58548
26803	3.89834	4.67263	3.96625
26804	3.89848	3.05896	3.10397
26805	3.89863	3.14328	3.14236
26806	3.89877	2.93408	3.04687
26807	3.89892	3.39251	3.25627
26808	3.89907	2.97215	3.06433
26809	3.89921	6.00533	5.68706
26810	3.89936	5.56886	4.9097
26811	3.8995	6.03792	5.75429
26812	3.89965	3.18234	3.16014
26813	3.89979	3.22641	3.18021
26814	3.89994	2.94253	3.05075
26815	3.90008	3.06028	3.10457
26816	3.90023	5.8094	5.30779
26817	3.90037	3.01116	3.08216
26818	3.90052	2.94052	3.04983
26819	3.90067	5.69316	5.10582
26820	3.90081	3.99517	3.54977
26821	3.90096	5.57268	4.91542
26822	3.9011	3.07761	3.11246
26823	3.90125	5.72472	5.15887
26824	3.90139	5.989	5.65377
26825	3.90154	2.97106	3.06383
26826	3.90168	5.15333	4.38711
26827	3.90183	6.04023	5.75908
26828	3.90197	4.24923	3.6903
26829	3.90212	5.95988	5.59511
26830	3.90227	5.4962	4.80426
26831	3.90241	5.39549	4.66867
26832	3.90256	3.48555	3.29938
26833	3.9027	5.15715	4.39112
26834	3.90285	2.97001	3.06334
26835	3.90299	4.13926	3.62771
26836	3.90314	6.04164	5.76202
26837	3.90328	5.17835	4.4136
26838	3.90343	6.06935	5.82004
26839	3.90357	4.2967	3.71828
26840	3.90372	6.03405	5.74624
26841	3.90387	5.13458	4.36762
26842	3.90401	4.62534	3.93201
26843	3.90416	5.99307	5.66205
26844	3.9043	4.23198	3.68028
26845	3.90445	3.36686	3.24447
26846	3.90459	4.26304	3.69837
26847	3.90474	2.93571	3.04762
26848	3.90488	5.92232	5.52082
26849	3.90503	3.83653	3.46833
26850	3.90517	2.91974	3.04029
26851	3.90532	2.9636	3.06041
26852	3.90547	5.56252	4.90022
26853	3.90561	3.55517	3.33198
26854	3.90576	2.9491	3.05377
26855	3.9059	2.92857	3.04435
26856	3.90605	3.11358	3.12884
26857	3.90619	6.05935	5.79903
26858	3.90634	3.12757	3.13521
26859	3.90648	3.26	3.19553
26860	3.90663	4.47214	3.82757
26861	3.90677	5.12745	4.36028
26862	3.90692	4.76153	4.03351
26863	3.90706	5.00758	4.24307
26864	3.90721	5.31262	4.56569
26865	3.90736	5.34097	4.60009
26866	3.9075	3.0709	3.10941
26867	3.90765	3.03463	3.09287
26868	3.90779	6.04702	5.77323
26869	3.90794	3.16189	3.15083
26870	3.90808	2.95778	3.05775
26871	3.90823	2.94346	3.05118
26872	3.90837	4.45347	3.81546
26873	3.90852	5.15775	4.39175
26874	3.90866	3.20701	3.17137
26875	3.90881	2.97212	3.06431
26876	3.90896	6.0553	5.79054
26877	3.9091	5.29163	4.54075
26878	3.90925	5.53185	4.85516
26879	3.90939	5.42842	4.71171
26880	3.90954	4.65799	3.95554
26881	3.90968	5.71394	5.1406
26882	3.90983	4.55321	3.88167
26883	3.90997	3.08483	3.11575
26884	3.91012	2.99369	3.07418
26885	3.91026	3.49254	3.30264
26886	3.91041	3.10892	3.12672
26887	3.91056	4.55939	3.8859
26888	3.9107	5.98936	5.6545
26889	3.91085	4.68502	3.97539
26890	3.91099	3.11686	3.13034
26891	3.91114	2.93582	3.04767
26892	3.91128	3.08002	3.11356
26893	3.91143	5.23902	4.48018
26894	3.91157	3.87741	3.48894
26895	3.91172	4.51771	3.85767
26896	3.91186	3.6772	3.39008
26897	3.91201	2.95575	3.05681
26898	3.91216	4.6648	3.96051
26899	3.9123	6.06276	5.80619
26900	3.91245	2.96649	3.06173
26901	3.91259	5.33611	4.59414
26902	3.91274	3.67702	3.39
26903	3.91288	4.44829	3.81212
26904	3.91303	5.28728	4.53563
26905	3.91317	6.01505	5.70701
26906	3.91332	5.83876	5.36163
26907	3.91346	4.03012	3.5683
26908	3.91361	4.59787	3.91258
26909	3.91376	4.65358	3.95233
26910	3.9139	5.32686	4.58286
26911	3.91405	5.20465	4.44204
26912	3.91419	2.94199	3.0505
26913	3.91434	5.41094	4.68871
26914	3.91448	3.2367	3.18491
26915	3.91463	3.69193	3.3972
26916	3.91477	4.62142	3.92922
26917	3.91492	5.13664	4.36974
26918	3.91506	2.96156	3.05948
26919	3.91521	3.90906	3.50507
26920	3.91536	4.64657	3.94726
26921	3.9155	5.11458	4.34715
26922	3.91565	5.32038	4.57502
26923	3.91579	6.05517	5.79026
26924	3.91594	4.55557	3.88328
26925	3.91608	5.82168	5.33016
26926	3.91623	5.75272	5.20706
26927	3.91637	3.06691	3.10759
26928	3.91652	2.93547	3.04751
26929	3.91666	6.03291	5.74388
26930	3.91681	3.70993	3.40592
26931	3.91696	2.96242	3.05987
26932	3.9171	4.02158	3.56375
26933	3.91725	4.52015	3.8593
26934	3.91739	3.45899	3.28702
26935	3.91754	3.72243	3.41199
26936	3.91768	4.47006	3.82621
26937	3.91783	4.59303	3.90919
26938	3.91797	3.07598	3.11172
26939	3.91812	3.09725	3.12141
26940	3.91826	3.18101	3.15953
26941	3.91841	5.11195	4.34449
26942	3.91856	5.11084	4.34336
26943	3.9187	3.20996	3.17272
26944	3.91885	2.94002	3.0496
26945	3.91899	5.28656	4.53479
26946	3.91914	4.59758	3.91238
26947	3.91928	4.48102	3.83338
26948	3.91943	2.94013	3.04965
26949	3.91957	5.30147	4.55239
26950	3.91972	3.40728	3.26309
26951	3.91986	3.78446	3.44241
26952	3.92001	4.20226	3.6632
26953	3.92015	4.59566	3.91103
26954	3.9203	3.57873	3.3431
26955	3.92045	3.51892	3.31496
26956	3.92059	2.94756	3.05306
26957	3.92074	6.04807	5.77543
26958	3.92088	5.25873	4.50255
26959	3.92103	3.21143	3.17339
26960	3.92117	3.90999	3.50555
26961	3.92132	2.94386	3.05136
26962	3.92146	3.68718	3.3949
26963	3.92161	5.11916	4.35181
26964	3.92175	3.1144	3.12921
26965	3.9219	3.45958	3.2873
26966	3.92205	5.97853	5.63257
26967	3.92219	3.08278	3.11482
26968	3.92234	3.44209	3.27918
26969	3.92248	4.30835	3.72524
26970	3.92263	3.06362	3.10609
26971	3.92277	5.26097	4.50512
26972	3.92292	3.14087	3.14126
26973	3.92306	4.65789	3.95547
26974	3.92321	5.3342	4.5918
26975	3.92335	2.96405	3.06062
26976	3.9235	3.21042	3.17293
26977	3.92365	6.05229	5.78425
26978	3.92379	6.05212	5.78389
26979	3.92394	5.83867	5.36146
26980	3.92408	5.11147	4.344
26981	3.92423	3.00007	3.0771
26982	3.92437	3.22	3.17729
26983	3.92452	5.1799	4.41526
26984	3.92466	5.92183	5.51986
26985	3.92481	2.98566	3.0705
26986	3.92495	3.44913	3.28245
26987	3.9251	3.71486	3.40831
26988	3.92525	3.21878	3.17674
26989	3.92539	5.78251	5.25948
26990	3.92554	3.22161	3.17803
26991	3.92568	5.30096	4.55178
26992	3.92583	5.93387	5.54349
26993	3.92597	4.37796	3.76768
26994	3.92612	3.04547	3.09782
26995	3.92626	3.05186	3.10073
26996	3.92641	5.1481	4.38164
26997	3.92655	4.07946	3.59485
26998	3.9267	5.92922	5.53434
26999	3.92685	6.01133	5.69937
27000	3.92699	3.84446	3.47231
27001	3.92714	3.70296	3.40253
27002	3.92728	5.12474	4.35751
27003	3.92743	4.81586	4.07664
27004	3.92757	5.70246	5.12131
27005	3.92772	6.04538	5.76982
27006	3.92786	5.31119	4.56397
27007	3.92801	6.04566	5.7704
27008	3.92815	3.54564	3.3275
27009	3.9283	4.61453	3.92432
27010	3.92845	4.65612	3.95418
27011	3.92859	3.22306	3.17869
27012	3.92874	3.15872	3.14939
27013	3.92888	3.02781	3.08976
27014	3.92903	3.22411	3.17917
27015	3.92917	3.04882	3.09934
27016	3.92932	4.27596	3.70598
27017	3.92946	4.64206	3.944
27018	3.92961	4.16795	3.64375
27019	3.92975	4.52917	3.86536
27020	3.9299	3.22095	3.17773
27021	3.93005	4.04336	3.57538
27022	3.93019	4.25099	3.69133
27023	3.93034	5.93264	5.54107
27024	3.93048	4.42842	3.7994
27025	3.93063	5.21951	4.4584
27026	3.93077	6.00822	5.69298
27027	3.93092	4.18905	3.65568
27028	3.93106	6.02874	5.73525
27029	3.93121	5.28073	4.52797
27030	3.93135	3.07874	3.11298
27031	3.9315	3.91081	3.50596
27032	3.93165	3.71528	3.40851
27033	3.93179	3.80335	3.45177
27034	3.93194	3.00255	3.07823
27035	3.93208	2.98042	3.06811
27036	3.93223	5.27846	4.52533
27037	3.93237	5.96819	5.61175
27038	3.93252	4.22724	3.67754
27039	3.93266	5.08972	4.32217
27040	3.93281	6.03673	5.75181
27041	3.93295	5.39889	4.67306
27042	3.9331	5.17624	4.41135
27043	3.93324	6.03152	5.74101
27044	3.93339	3.45947	3.28725
27045	3.93354	4.65807	3.9556
27046	3.93368	4.53847	3.87165
27047	3.93383	5.21179	4.44987
27048	3.93397	5.39125	4.66322
27049	3.93412	5.31708	4.57104
27050	3.93426	6.03292	5.74391
27051	3.93441	4.17982	3.65045
27052	3.93455	6.02693	5.73149
27053	3.9347	3.07967	3.1134
27054	3.93484	3.15794	3.14903
27055	3.93499	3.38889	3.2546
27056	3.93514	4.63603	3.93966
27057	3.93528	4.19136	3.65699
27058	3.93543	4.5383	3.87153
27059	3.93557	3.18369	3.16076
27060	3.93572	2.96594	3.06148
27061	3.93586	2.97164	3.06409
27062	3.93601	2.96798	3.06242
27063	3.93615	2.96543	3.06125
27064	3.9363	3.38395	3.25233
27065	3.93644	4.60924	3.92058
27066	3.93659	4.11542	3.61452
27067	3.93674	4.58783	3.90556
27068	3.93688	4.59789	3.91259
27069	3.93703	3.02571	3.0888
27070	3.93717	3.70489	3.40347
27071	3.93732	5.13777	4.37091
27072	3.93746	5.56637	4.90597
27073	3.93761	4.43844	3.8058
27074	3.93775	6.02453	5.72653
27075	3.9379	5.51017	4.82401
27076	3.93804	5.12411	4.35686
27077	3.93819	5.84403	5.3714
27078	3.93834	3.93826	3.52009
27079	3.93848	4.41254	3.78933
27080	3.93863	4.6556	3.9538
27081	3.93877	4.57222	3.89472
27082	3.93892	3.02419	3.08811
27083	3.93906	6.01079	5.69825
27084	3.93921	5.52489	4.84509
27085	3.93935	5.1132	4.34575
27086	3.9395	5.34876	4.6097
27087	3.93964	5.8678	5.41597
27088	3.93979	6.00286	5.682
27089	3.93994	5.24898	4.49144
27090	3.94008	4.24375	3.68711
27091	3.94023	4.50745	3.85083
27092	3.94037	5.75074	5.20362
27093	3.94052	5.95946	5.59426
27094	3.94066	5.25879	4.50262
27095	3.94081	5.54522	4.87465
27096	3.94095	4.61889	3.92742
27097	3.9411	2.97287	3.06465
27098	3.94124	4.63267	3.93725
27099	3.94139	4.10319	3.60779
27100	3.94154	3.73318	3.41723
27101	3.94168	3.69816	3.40021
27102	3.94183	3.72164	3.41161
27103	3.94197	4.03321	3.56995
27104	3.94212	4.6544	3.95293
27105	3.94226	3.27284	3.2014
27106	3.94241	3.925	3.51325
27107	3.94255	5.66308	5.05649
27108	3.9427	5.22735	4.46711
27109	3.94284	5.94346	5.56242
27110	3.94299	5.75463	5.21039
27111	3.94314	4.50151	3.84689
27112	3.94328	4.29422	3.7168
27113	3.94343	5.36148	4.62552
27114	3.94357	6.02027	5.71775
27115	3.94372	5.78844	5.27004
27116	3.94386	5.26143	4.50565
27117	3.94401	5.15036	4.38401
27118	3.94415	5.73215	5.17156
27119	3.9443	5.57903	4.92499
27120	3.94444	3.67651	3.38975
27121	3.94459	4.62895	3.93459
27122	3.94473	4.62735	3.93345
27123	3.94488	3.5132	3.31229
27124	3.94503	5.928	5.53194
27125	3.94517	5.44126	4.72882
27126	3.94532	5.15315	4.38693
27127	3.94546	5.80003	5.29085
27128	3.94561	5.82704	5.34
27129	3.94575	4.25456	3.69341
27130	3.9459	5.69547	5.10966
27131	3.94604	5.19996	4.43693
27132	3.94619	3.04762	3.0988
27133	3.94633	5.67864	5.08186
27134	3.94648	3.23427	3.1838
27135	3.94663	3.44906	3.28242
27136	3.94677	3.01942	3.08593
27137	3.94692	3.23042	3.18204
27138	3.94706	3.22703	3.1805
27139	3.94721	3.0007	3.07738
27140	3.94735	3.45604	3.28565
27141	3.9475	3.21662	3.17575
27142	3.94764	3.89822	3.49953
27143	3.94779	3.08649	3.11651
27144	3.94793	5.17666	4.4118
27145	3.94808	5.78828	5.26975
27146	3.94823	4.23961	3.6847
27147	3.94837	5.68817	5.09755
27148	3.94852	5.89582	5.4694
27149	3.94866	5.23175	4.47202
27150	3.94881	5.26854	4.51383
27151	3.94895	6.00747	5.69143
27152	3.9491	3.05988	3.10438
27153	3.94924	4.43397	3.80293
27154	3.94939	4.63133	3.93629
27155	3.94953	4.32607	3.73591
27156	3.94968	3.16417	3.15187
27157	3.94983	6.02113	5.71953
27158	3.94997	5.46266	4.75777
27159	3.95012	5.11935	4.352
27160	3.95026	5.36417	4.62888
27161	3.95041	5.85502	5.39192
27162	3.95055	5.99748	5.67102
27163	3.9507	5.36211	4.6263
27164	3.95084	4.39572	3.77875
27165	3.95099	4.44773	3.81176
27166	3.95113	5.53269	4.85638
27167	3.95128	6.01515	5.70721
27168	3.95143	5.5154	4.83148
27169	3.95157	5.14497	4.37838
27170	3.95172	5.85219	5.38662
27171	3.95186	4.45019	3.81334
27172	3.95201	4.14038	3.62833
27173	3.95215	4.59946	3.91369
27174	3.9523	4.33186	3.73941
27175	3.95244	3.95928	3.53099
27176	3.95259	3.87092	3.48565
27177	3.95273	3.99196	3.54808
27178	3.95288	4.3992	3.78093
27179	3.95303	4.49382	3.84179
27180	3.95317	3.28474	3.20684
27181	3.95332	5.69776	5.11346
27182	3.95346	5.89333	5.46462
27183	3.95361	5.15701	4.39097
27184	3.95375	5.45987	4.75397
27185	3.9539	5.99162	5.65908
27186	3.95404	5.71433	5.14126
27187	3.95419	4.68482	3.97524
27188	3.95433	4.31357	3.72838
27189	3.95448	4.96967	4.20824
27190	3.95463	5.82463	5.33557
27191	3.95477	5.99845	5.673
27192	3.95492	5.67076	5.06896
27193	3.95506	5.24506	4.48699
27194	3.95521	5.14326	4.37661
27195	3.95535	5.53993	4.86692
27196	3.9555	6.01298	5.70274
27197	3.95564	3.63938	3.37193
27198	3.95579	3.94728	3.52475
27199	3.95593	4.54395	3.87536
27200	3.95608	4.47882	3.83194
27201	3.95623	3.37768	3.24944
27202	3.95637	5.53985	4.8668
27203	3.95652	5.74998	5.20229
27204	3.95666	5.15549	4.38938
27205	3.95681	5.35043	4.61176
27206	3.95695	5.94963	5.57468
27207	3.9571	5.58929	4.94054
27208	3.95724	4.33497	3.7413
27209	3.95739	5.83898	5.36203
27210	3.95753	5.13957	4.37277
27211	3.95768	6.00306	5.68242
27212	3.95782	5.95249	5.58035
27213	3.95797	3.31505	3.2207
27214	3.95812	2.99837	3.07632
27215	3.95826	4.64013	3.94261
27216	3.95841	4.3709	3.76331
27217	3.95855	3.78023	3.44033
27218	3.9587	4.29701	3.71847
27219	3.95884	4.58814	3.90577
27220	3.95899	4.64182	3.94383
27221	3.95913	4.64281	3.94454
27222	3.95928	4.61593	3.92532
27223	3.95942	4.40367	3.78374
27224	3.95957	3.87451	3.48747
27225	3.95972	4.08969	3.60042
27226	3.95986	3.15773	3.14894
27227	3.96001	4.00979	3.5575
27228	3.96015	3.28119	3.20521
27229	3.9603	5.80624	5.30205
27230	3.96044	3.18846	3.16293
27231	3.96059	5.5685	4.90915
27232	3.96073	4.9934	4.22992
27233	3.96088	4.94436	4.18555
27234	3.96102	6.00272	5.68173
27235	3.96117	5.40324	4.67869
27236	3.96132	5.18869	4.42471
27237	3.96146	5.93666	5.54898
27238	3.96161	3.42395	3.27079
27239	3.96175	4.2096	3.6674
27240	3.9619	4.39646	3.77921
27241	3.96204	3.16553	3.15249
27242	3.96219	5.88852	5.45539
27243	3.96233	5.54186	4.86974
27244	3.96248	5.13559	4.36866
27245	3.96262	5.52059	4.83891
27246	3.96277	5.99241	5.6607
27247	3.96292	5.52303	4.84242
27248	3.96306	4.45704	3.81777
27249	3.96321	5.08665	4.31912
27250	3.96335	6.00087	5.67793
27251	3.9635	5.30819	4.56038
27252	3.96364	5.86993	5.42
27253	3.96379	3.54819	3.3287
27254	3.96393	4.91285	4.15789
27255	3.96408	4.6105	3.92148
27256	3.96422	4.49376	3.84175
27257	3.96437	4.49485	3.84247
27258	3.96452	3.19482	3.16583
27259	3.96466	5.79371	5.27948
27260	3.96481	5.32958	4.58617
27261	3.96495	5.88265	5.44417
27262	3.9651	4.44553	3.81035
27263	3.96524	5.83027	5.34594
27264	3.96539	5.51746	4.83443
27265	3.96553	5.41818	4.6982
27266	3.96568	3.01561	3.08419
27267	3.96582	3.8296	3.46486
27268	3.96597	5.27379	4.5199
27269	3.96612	4.89599	4.14335
27270	3.96626	3.0115	3.08231
27271	3.96641	4.58628	3.90448
27272	3.96655	5.93077	5.5374
27273	3.9667	5.57661	4.92133
27274	3.96684	3.04816	3.09904
27275	3.96699	4.99547	4.23184
27276	3.96713	4.53956	3.87238
27277	3.96728	4.57464	3.8964
27278	3.96742	3.25882	3.195
27279	3.96757	3.3044	3.21582
27280	3.96772	3.56695	3.33754
27281	3.96786	3.22118	3.17783
27282	3.96801	3.67731	3.39014
27283	3.96815	3.79906	3.44964
27284	3.9683	5.99172	5.6593
27285	3.96844	4.60257	3.91588
27286	3.96859	5.50968	4.82332
27287	3.96873	5.10861	4.3411
27288	3.96888	5.57619	4.9207
27289	3.96902	5.7242	5.15799
27290	3.96917	4.00782	3.55645
27291	3.96932	5.46646	4.76297
27292	3.96946	5.49939	4.80874
27293	3.96961	4.62118	3.92905
27294	3.96975	5.73416	5.17501
